key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: 'Consumer', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: 'Consumer', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-spokesperson-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson1,spokesperson1
user-account-spokesperson-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",spokesperson2,spokesperson2
user-account-spokesperson-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",spokesperson3,spokesperson3
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'Provider', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'Provider', email: 'antonia@acme.com'}",provider3,provider3
user-account-fundraiser-01,true,"UserIdentity{name: 'Fiona', surname: 'Fundraiser', email: 'fundraiser1@acme.com'}",fundraiser1,fundraiser1
user-account-fundraiser-02,true,"UserIdentity{name: 'Hector', surname: 'Fundraiser', email: 'fundraiser2@acme.com'}",fundraiser2,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'Irene', surname: 'Fundraiser', email: 'fundraiser3@acme.com'}",fundraiser3,fundraiser3
user-account-auditor-01,true,"UserIdentity{name: 'Alicia', surname: 'Auditor', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Bruno', surname: 'Auditor', email: 'auditor2@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Clara', surname: 'Auditor', email: 'auditor3@acme.com'}",auditor3,auditor3
user-account-inventor-01,true,"UserIdentity{name: 'juan', surname: 'petre', email: 'athoroska@acme.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'jhon', surname: 'gil', email: 'jeibi@acme.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'celia', surname: 'celiacelia', email: 'waya@acme.com'}",inventor3,inventor3
